run_id	label	request_index	sample_index	start_ns	end_ns	jct_s	status	http_code	json_path
1	sglang-nonsd	0	0	1785229318358944974	1785229328000862353	9.641917	0	200	/home/user/vllm/logs/speed_test/sglang-nonsd_b32_speed_tp2/run1_sglang-nonsd_0.json
1	sglang-nonsd	1	1	1785229318359021732	1785229330879951814	12.520930	0	200	/home/user/vllm/logs/speed_test/sglang-nonsd_b32_speed_tp2/run1_sglang-nonsd_1.json
1	sglang-nonsd	2	2	1785229318359568033	1785229329078614540	10.719047	0	200	/home/user/vllm/logs/speed_test/sglang-nonsd_b32_speed_tp2/run1_sglang-nonsd_2.json
1	sglang-nonsd	3	3	1785229318360270358	1785229327077970073	8.717700	0	200	/home/user/vllm/logs/speed_test/sglang-nonsd_b32_speed_tp2/run1_sglang-nonsd_3.json
1	sglang-nonsd	4	4	1785229318362387505	1785229324186322801	5.823935	0	200	/home/user/vllm/logs/speed_test/sglang-nonsd_b32_speed_tp2/run1_sglang-nonsd_4.json
1	sglang-nonsd	5	5	1785229318362372654	1785229328254064406	9.891692	0	200	/home/user/vllm/logs/speed_test/sglang-nonsd_b32_speed_tp2/run1_sglang-nonsd_5.json
1	sglang-nonsd	6	6	1785229318362923736	1785229326615989488	8.253066	0	200	/home/user/vllm/logs/speed_test/sglang-nonsd_b32_speed_tp2/run1_sglang-nonsd_6.json
1	sglang-nonsd	7	7	1785229318363349207	1785229331562278160	13.198929	0	200	/home/user/vllm/logs/speed_test/sglang-nonsd_b32_speed_tp2/run1_sglang-nonsd_7.json
1	sglang-nonsd	8	8	1785229318364029396	1785229326920874054	8.556845	0	200	/home/user/vllm/logs/speed_test/sglang-nonsd_b32_speed_tp2/run1_sglang-nonsd_8.json
1	sglang-nonsd	9	9	1785229318363693386	1785229329218849788	10.855156	0	200	/home/user/vllm/logs/speed_test/sglang-nonsd_b32_speed_tp2/run1_sglang-nonsd_9.json
1	sglang-nonsd	10	10	1785229318364363890	1785229326782728745	8.418365	0	200	/home/user/vllm/logs/speed_test/sglang-nonsd_b32_speed_tp2/run1_sglang-nonsd_10.json
1	sglang-nonsd	11	11	1785229318364859587	1785229329762361623	11.397502	0	200	/home/user/vllm/logs/speed_test/sglang-nonsd_b32_speed_tp2/run1_sglang-nonsd_11.json
1	sglang-nonsd	12	12	1785229318365283737	1785229331651001913	13.285718	0	200	/home/user/vllm/logs/speed_test/sglang-nonsd_b32_speed_tp2/run1_sglang-nonsd_12.json
1	sglang-nonsd	13	13	1785229318365951752	1785229326180186756	7.814235	0	200	/home/user/vllm/logs/speed_test/sglang-nonsd_b32_speed_tp2/run1_sglang-nonsd_13.json
1	sglang-nonsd	14	14	1785229318366553811	1785229329563833030	11.197279	0	200	/home/user/vllm/logs/speed_test/sglang-nonsd_b32_speed_tp2/run1_sglang-nonsd_14.json
1	sglang-nonsd	15	15	1785229318367136648	1785229326758794709	8.391658	0	200	/home/user/vllm/logs/speed_test/sglang-nonsd_b32_speed_tp2/run1_sglang-nonsd_15.json
1	sglang-nonsd	16	16	1785229318367798495	1785229328312507843	9.944709	0	200	/home/user/vllm/logs/speed_test/sglang-nonsd_b32_speed_tp2/run1_sglang-nonsd_16.json
1	sglang-nonsd	17	17	1785229318368240026	1785229325870245760	7.502006	0	200	/home/user/vllm/logs/speed_test/sglang-nonsd_b32_speed_tp2/run1_sglang-nonsd_17.json
1	sglang-nonsd	18	18	1785229318368719637	1785229332970942806	14.602223	0	200	/home/user/vllm/logs/speed_test/sglang-nonsd_b32_speed_tp2/run1_sglang-nonsd_18.json
1	sglang-nonsd	19	19	1785229318369424097	1785229328326661711	9.957238	0	200	/home/user/vllm/logs/speed_test/sglang-nonsd_b32_speed_tp2/run1_sglang-nonsd_19.json
1	sglang-nonsd	20	20	1785229318369962448	1785229329493522940	11.123560	0	200	/home/user/vllm/logs/speed_test/sglang-nonsd_b32_speed_tp2/run1_sglang-nonsd_20.json
1	sglang-nonsd	21	21	1785229318370388242	1785229328002436847	9.632049	0	200	/home/user/vllm/logs/speed_test/sglang-nonsd_b32_speed_tp2/run1_sglang-nonsd_21.json
1	sglang-nonsd	22	22	1785229318370910270	1785229330659268876	12.288359	0	200	/home/user/vllm/logs/speed_test/sglang-nonsd_b32_speed_tp2/run1_sglang-nonsd_22.json
1	sglang-nonsd	23	23	1785229318371559970	1785229329426233208	11.054673	0	200	/home/user/vllm/logs/speed_test/sglang-nonsd_b32_speed_tp2/run1_sglang-nonsd_23.json
1	sglang-nonsd	24	24	1785229318372061422	1785229330510286712	12.138225	0	200	/home/user/vllm/logs/speed_test/sglang-nonsd_b32_speed_tp2/run1_sglang-nonsd_24.json
1	sglang-nonsd	25	25	1785229318372642602	1785229330278500708	11.905858	0	200	/home/user/vllm/logs/speed_test/sglang-nonsd_b32_speed_tp2/run1_sglang-nonsd_25.json
1	sglang-nonsd	26	26	1785229318373282355	1785229332970852645	14.597570	0	200	/home/user/vllm/logs/speed_test/sglang-nonsd_b32_speed_tp2/run1_sglang-nonsd_26.json
1	sglang-nonsd	27	27	1785229318373744160	1785229325455049457	7.081305	0	200	/home/user/vllm/logs/speed_test/sglang-nonsd_b32_speed_tp2/run1_sglang-nonsd_27.json
1	sglang-nonsd	28	28	1785229318374336291	1785229327109491082	8.735155	0	200	/home/user/vllm/logs/speed_test/sglang-nonsd_b32_speed_tp2/run1_sglang-nonsd_28.json
1	sglang-nonsd	29	29	1785229318374919459	1785229328050830937	9.675911	0	200	/home/user/vllm/logs/speed_test/sglang-nonsd_b32_speed_tp2/run1_sglang-nonsd_29.json
1	sglang-nonsd	30	30	1785229318375441780	1785229330721786120	12.346344	0	200	/home/user/vllm/logs/speed_test/sglang-nonsd_b32_speed_tp2/run1_sglang-nonsd_30.json
1	sglang-nonsd	31	31	1785229318376008298	1785229330065319443	11.689311	0	200	/home/user/vllm/logs/speed_test/sglang-nonsd_b32_speed_tp2/run1_sglang-nonsd_31.json
2	sglang-nonsd	0	0	1785229347397977162	1785229355754439498	8.356462	0	200	/home/user/vllm/logs/speed_test/sglang-nonsd_b32_speed_tp2/run2_sglang-nonsd_0.json
2	sglang-nonsd	1	1	1785229347398260963	1785229358424839440	11.026578	0	200	/home/user/vllm/logs/speed_test/sglang-nonsd_b32_speed_tp2/run2_sglang-nonsd_1.json
